metric,real,null_mean,null_std,p_value,n_shuffles
accuracy,0.8328888888888889,0.5785955555555555,0.03172858060028122,0.0196078431372549,50
f1,0.5760257683598479,0.1751487024062504,0.054992244172227554,0.0196078431372549,50
