m2_plane,m2_roi,x2,y2,z2
14,0,113.40287769784173,33.2589928057554,-15.0
14,19,149.27142857142857,5.571428571428571,-15.0
19,19,34.52739726027397,246.47260273972603,-5.0
19,46,155.89256198347107,38.56198347107438,-5.0
24,15,114.38857142857142,33.50857142857143,5.0
24,23,33.03030303030303,222.0530303030303,5.0
24,114,66.07843137254902,161.81372549019608,5.0
24,116,140.4777777777778,143.55555555555554,5.0
24,118,72.925,225.1,5.0
24,172,125.65116279069767,16.488372093023255,5.0
24,177,82.3969465648855,236.3587786259542,5.0
29,15,147.26923076923077,46.284615384615385,15.0
29,30,142.96,15.108571428571429,15.0
29,37,12.056,217.312,15.0
29,45,70.22916666666667,208.01388888888889,15.0
29,47,60.6412213740458,211.98473282442748,15.0
29,70,169.70247933884298,50.86776859504132,15.0
29,76,81.58653846153847,237.84615384615384,15.0
29,95,68.30252100840336,237.21848739495798,15.0
29,109,234.02247191011236,84.96629213483146,15.0
29,114,44.511811023622045,219.82677165354332,15.0
