m1_idx,col1,row1,z1
11,181.45786888897328,208.7432666765201,8.0
38,248.71565051820133,171.78427573615068,8.0
74,249.76676458188717,219.506190106861,1.3333333333333333
155,249.96821348270393,246.2368305395922,2.0
186,187.83106174757737,137.57004710750394,6.0
