m1_idx,m2_plane,m2_roi,col1,row1,z1,x2,y2,z2,x1_in_m2,y1_in_m2,d_xy_px,d_z_um,corr,cost
0,24,3,43.7642783887284,193.58123874153182,-1.0,43.15107913669065,193.14388489208633,5.0,43.59359770301236,192.82627191043986,0.5447023844722787,6.0,0.6606436923396695,9.43182853767889
1,29,1,234.57207653616567,23.67203563493365,8.0,234.1027397260274,23.84931506849315,15.0,233.65724543767462,23.57971469595741,0.5207201953317826,7.0,0.6457909562281089,10.054901070769604
2,29,0,38.23610850341585,146.30388178195105,4.0,38.161764705882355,146.31617647058823,15.0,38.08698768025253,145.73329664300144,0.5876567850111616,11.0,0.5175604363945838,14.086448057119483
3,19,24,22.835837992044922,172.63417457786448,4.5,22.948863636363637,171.91477272727272,-5.0,22.746778223875946,171.96090129701082,0.20728328173396648,9.5,0.6628896271196495,10.274490739340976
4,19,30,47.270962093081344,65.90403733474407,-4.666666666666667,78.31428571428572,28.392857142857142,-5.0,47.086605340918325,65.64701158913857,48.61111030421528,0.33333333333333304,0.12831670280610016,66.16144291475995
5,19,0,90.21549191101472,99.67984700227521,-5.0,89.65492957746478,99.00704225352112,-5.0,89.86365149256176,99.29109559896634,0.35249275297567045,0.0,0.6351027097994772,7.650438556986125
6,24,21,94.35359864523244,158.19138713838814,0.0,124.56626506024097,160.36144578313252,5.0,93.98561961051603,157.5744407285484,30.70738141385651,5.0,0.14460452246935715,49.56529096446937
7,24,16,65.20708857226059,215.4047663602105,4.0,64.89071038251366,217.6830601092896,5.0,64.95278092682877,214.56468777140566,3.118990027260654,1.0,0.5919831183239277,11.629327660782101
8,14,8,75.96296133903422,82.9183803928557,-6.0,75.15060240963855,82.08433734939759,-15.0,75.66670578981199,82.59499870932356,0.726042508086056,9.0,0.6455085415208908,10.96587167766824
9,19,10,226.71695580586774,167.58839412663323,18.666666666666668,192.80188679245282,129.43396226415095,-5.0,225.83275967822485,166.93479938953936,49.973506467936986,23.666666666666668,0.09137371478027168,76.42936550566489
10,29,12,208.4014166816017,41.762142434433656,7.0,208.130081300813,42.146341463414636,15.0,207.58865115654345,41.59927007893936,0.7696971487770001,8.0,0.5074075943663451,13.421545261450099
12,24,25,35.062654580414176,247.39462260133345,1.5,34.4625,247.425,5.0,34.92591022755056,246.42978357318825,1.0978181885879106,3.5,0.7002072882931983,8.318672422723942
13,24,106,194.19914322443583,131.15503680646677,10.0,196.5148514851485,122.44554455445545,5.0,193.44176656586052,130.64353216292156,8.755047215733285,5.0,0.11575362369896151,28.189974741754057
14,24,40,210.58370968910694,30.330534844494448,2.6666666666666665,210.89361702127658,30.180851063829788,5.0,209.7624332213194,30.21224575860092,1.1316193777703336,2.3333333333333335,0.5023260137671764,11.901765769093473
15,29,80,210.04350804497892,141.79423256234008,11.0,214.73469387755102,137.9387755102041,15.0,209.2243383636035,141.24123505534695,6.424193096210378,4.0,0.21222274271520905,23.5797382419062
16,29,16,40.03658080314023,203.4309664485248,4.0,43.375,194.58035714285714,15.0,39.88043813800798,202.63758567937555,8.782419615173014,11.0,0.22975396102075157,28.037340394757983
17,29,54,186.2455700306729,29.73752442743975,1.5,186.2155172413793,30.448275862068964,15.0,185.51921230755326,29.621548082172737,1.0808882379425886,13.5,0.2376056893012941,21.053774451916706
18,24,17,143.2730972186298,14.650465298895526,-1.0,143.55900621118013,12.48447204968944,5.0,142.71433213947714,14.593328484229833,2.2717283616026225,6.0,0.5849761653390056,12.67220505482251
19,24,10,173.8549893414018,227.69417459017433,9.5,173.67226890756302,226.51260504201682,5.0,173.1769548829703,226.80616730927264,0.575773208576617,4.5,0.5931359542946603,10.28805412268341
20,24,90,124.96904937277439,229.62122730199803,-6.666666666666667,110.41732283464567,226.16535433070865,5.0,124.48167008022057,228.72570451552025,14.295497770730996,11.666666666666668,0.1531151841601918,35.316527420860496
21,29,90,26.33640434533808,94.05806739058131,1.3333333333333333,19.75,133.17241379310346,15.0,26.233692368391264,93.69124092775805,40.01001471570864,13.666666666666666,0.0907257547846352,62.97883295334927
22,29,41,227.19367043762668,166.38464716586057,20.666666666666668,228.00574712643677,167.06896551724137,15.0,226.30761512291994,165.73574704191373,2.1589635949508392,5.666666666666668,0.5954285035350558,12.233726857583056
23,24,59,144.7423989442609,204.54907172595736,7.5,143.9108910891089,203.47524752475246,5.0,144.17790358837829,203.75133034622613,0.38407993839686866,2.5,0.5452473881986752,10.354132174423365
24,24,19,105.51511925385861,196.98662735030422,2.5,106.40441176470588,196.10294117647058,5.0,105.10361028876856,196.21837950363803,1.3059136599254673,2.5,0.5600202007005971,10.980509645913525
25,24,44,244.92992793701345,155.57047057748358,14.0,243.8671875,154.90625,5.0,243.9747012180591,154.9637457422314,0.12192194201877621,9.0,0.636946605813431,10.532989825750157
26,24,29,7.701088230762592,114.9580100761432,6.5,7.427350427350428,114.00854700854701,5.0,7.671053986662617,114.50967383684623,0.5572427862814073,1.5,0.7192973609070852,6.696295568139703
27,29,13,192.2748960729127,224.40777105356304,14.0,192.55263157894737,223.68421052631578,15.0,191.52502397822835,223.53258074645413,1.0387343121301034,1.0,0.3957823877576922,13.47308655697626
28,24,58,12.64819548763169,53.340703508519006,-2.6666666666666665,10.30841121495327,45.850467289719624,5.0,12.598867525229927,53.132674764835784,7.633920082102237,7.666666666666666,0.3572898881052151,23.171455653331268
29,24,20,237.906077410237,201.41887125115886,3.3333333333333335,232.72988505747125,207.1206896551724,5.0,236.9782437083371,200.63333765327934,7.754630050676348,1.6666666666666665,0.4592304369254818,19.153354645500045
30,24,102,125.71489149347555,160.23533287258851,8.0,91.22935779816514,147.0,5.0,125.224603416651,159.61041507438543,36.25878228801222,3.0,0.11273366099401927,55.05410906813184
31,24,1,146.87599230939327,46.454485674025655,-2.5,145.81935483870967,45.92258064516129,5.0,146.30317593938662,46.27331317989695,0.5975752407708645,7.5,0.5932550887447103,11.357473465876659
32,24,130,208.80395768679028,59.569675119795605,6.0,189.08860759493672,47.860759493670884,5.0,207.9896222518118,59.337353386828404,22.11245265563879,1.0,0.11174197619171329,40.227613131804524
33,29,36,235.29698147956734,223.39105956538006,7.333333333333333,234.59259259259258,222.5185185185185,15.0,234.37932325179702,222.5198344330751,0.2132734004851382,7.666666666666667,0.4512051583541497,13.872503566735478
34,29,6,78.974175199317,222.048136816095,9.5,80.59541984732824,223.793893129771,15.0,78.66617591603966,221.1821490825122,3.247027735453688,5.5,0.5228177456298995,14.715672822855698
35,19,115,40.95521495415092,110.41930837700505,-2.0,40.170731707317074,111.16463414634147,-5.0,40.79548961582973,109.98867307433473,1.3316181461381322,3.0,0.6308791690501947,9.764034765134237
36,24,68,229.31236890945775,239.2702097653859,16.0,235.1809523809524,221.65714285714284,5.0,228.41805067071087,238.3370559473009,17.99878718796392,11.0,0.14291534887429777,38.99048021047797
37,24,254,133.8337068447904,119.79529036236698,2.0,145.86021505376345,92.26881720430107,5.0,133.31175538809572,119.32808872995375,29.827303188184608,3.0,0.09725324190448945,48.93223835009482
39,24,93,243.1320445155304,74.93579948296819,1.3333333333333333,243.8849557522124,49.93805309734513,5.0,242.18382954191983,74.64354986498462,24.76399404214089,3.666666666666667,0.2197673726188785,41.651979923096654
40,24,61,51.48108478875596,87.46962054605531,-7.5,53.4344262295082,88.68032786885246,5.0,51.28030855807981,87.12848902592569,2.654887330335575,12.5,0.3735751654387372,19.558384021560833
41,29,40,195.98182562620187,126.01434649304564,10.666666666666666,195.92857142857142,125.04761904761905,15.0,195.21749650625966,125.52289054172276,0.8552838933642068,4.333333333333334,0.25757325683597526,17.22048542331137
42,29,5,9.126401760699585,172.82334496668827,9.333333333333334,23.5,172.19444444444446,15.0,9.090808793832856,172.14933392131817,14.409261819232146,5.666666666666666,0.2250011273400815,31.892572605763853
43,29,23,204.41692549333575,151.87580584278342,10.666666666666666,203.991452991453,150.23076923076923,15.0,203.61969948391175,151.28349019999658,1.1164327608146414,4.333333333333334,0.47062284196318893,13.22064258821753
44,29,66,109.56849929471372,7.698451199706639,-4.0,111.77702702702703,8.743243243243244,15.0,109.14118214746433,7.668427240027783,2.8465606738457105,19.0,0.40682855314072125,21.35998961103129
45,24,63,236.57006075967078,120.88512493359765,11.0,236.71875,119.34375,5.0,235.64743752270806,120.41367294635661,1.5140824069851049,6.0,0.3608104303617912,16.39787379974928
46,29,31,214.6523753208553,137.95315543784383,10.0,171.88679245283018,149.0062893081761,15.0,213.81523105710397,137.41513813163624,43.50113503564887,5.0,0.11850636105848686,62.88100781447913
47,29,22,240.28748032046724,130.7045667785323,16.0,236.11904761904762,119.6984126984127,15.0,239.3503591472174,130.19481896809603,10.98252788616221,1.0,0.11421707772292257,29.04818633170376
48,24,54,27.667261717861997,154.94672160113154,8.0,27.29381443298969,155.9742268041237,5.0,27.559359397162336,154.34242938688712,1.6532625136067884,3.0,0.575999595674592,11.183270600114948
49,24,88,159.7700983117849,55.07745674468328,4.0,160.88,54.97,5.0,159.14699492836894,54.86265466337902,1.7363264668815108,1.0,0.45373192122191713,13.01168804244317
50,24,81,123.35396068755088,184.2813796813602,1.0,75.01612903225806,188.08064516129033,5.0,122.87288024086943,183.5626823006029,48.0695394678738,4.0,0.10997967513200615,67.26994596523367
51,24,239,186.72313083419598,239.41930394001906,14.0,144.7578125,222.140625,5.0,185.99491062394262,238.48556865465298,44.35826241814993,9.0,0.09859711993168165,65.5363200195163
52,29,72,245.29326073199763,51.3633851654964,16.5,245.83870967741936,19.89677419354839,15.0,244.33661701514285,51.16306796335097,31.302354679251536,1.5,0.1808192027410755,48.210970624430026
53,19,45,26.041408654175896,15.051741760511165,-16.0,32.73033707865169,9.348314606741573,-5.0,25.93984716042461,14.99303996764517,8.830270535468992,11.0,0.12779007597605135,30.124469015947966
54,29,28,213.96984514501068,112.41405754530109,11.0,213.75213675213675,112.94871794871794,15.0,213.13536274894514,111.97564272087442,1.1520788037524718,4.0,0.35349137373160694,15.48225132912033
55,24,190,64.65472399410044,235.81919322110505,9.333333333333334,68.72388059701493,235.7537313432836,5.0,64.40257057052344,234.89949836754275,4.40493295316727,4.333333333333334,0.45602480289779745,16.801103561877987
56,19,13,24.230824525606213,69.44459614805432,-14.0,25.17610062893082,93.45911949685535,-5.0,24.136324309956347,69.1737622230769,24.307606067002233,9.0,0.10941154737161929,45.269375119569844
57,24,31,214.89579104544782,68.13841108645177,6.666666666666667,185.86153846153846,28.976923076923075,5.0,214.05769746037058,67.8726712832146,48.04063499595579,1.666666666666667,0.09789761966812446,66.66601593592664
58,29,44,145.35989378760308,215.38911049774748,8.0,145.96190476190475,214.37142857142857,15.0,144.79299020183143,214.54909296680626,1.1823391586750054,7.0,0.37470777038683245,16.138183750938357
59,29,56,14.910027019663865,80.0346423971421,3.5,14.7984496124031,81.44186046511628,15.0,14.851877914287176,79.72250729179324,1.7201831059681505,11.5,0.5933194797423752,13.878793511120644
60,24,147,170.28140413835547,148.83552734365526,2.6666666666666665,140.77272727272728,134.36363636363637,5.0,169.61730666221587,148.255068787015,32.015334684019855,2.3333333333333335,0.1148226801796427,50.53554774709367
