m2_plane,m2_roi,col,row,z_old,best_z,z_activity,z_parallax,z_source,parallax_rms_px,best_r,n_pass,primary_view,r_v1,r_v2,r_v3,r_v4,plane_z_prior
14,0,113.84688053191621,36.38921072759301,-7.0,-6.0,-8.0,-6.0,parallax,1.7626944618361433,0.8352018446612569,4,4,0.588907979149057,0.8352018446612569,0.821329193022497,0.7975867747709837,-15.0
14,1,89.3007021501503,96.75669818173229,-7.0,-10.0,0.0,-10.0,parallax,2.030820412939767,0.8017902377693447,4,1,0.7118552394151594,0.8017902377693447,0.7954053568082169,0.790099367906416,-15.0
14,4,45.63018702877528,66.5550276652192,-1.0,-4.0,0.0,-4.0,parallax,1.5727696421509698,0.8513894360685296,4,1,0.7699842450392319,0.8134278088701852,0.8513894360685296,0.7829651020439882,-15.0
14,5,143.92804876079646,14.405022946133279,-3.0,2.0,-6.0,2.0,parallax,1.5034038651153552,0.8769842679270387,4,3,0.7288269477392761,0.8769842679270387,0.8757928444957926,0.8097410070958646,-15.0
14,14,160.86308029887994,6.536535344988312,-11.0,-8.0,-10.0,-8.0,parallax,4.579252876096062,0.7820295082266067,4,4,0.5281644129437657,0.7820295082266067,0.7432165062369079,0.6024869415891897,-15.0
14,15,140.28932838068468,28.29480529621078,-11.0,-14.0,-8.0,-14.0,parallax,2.5965343210778546,0.7862643184585923,4,2,0.5330830691529084,0.6900307594370784,0.7862643184585923,0.7240025783921556,-15.0
14,17,53.91488635744764,86.39968229034412,-5.0,-8.0,0.0,-8.0,parallax,1.4631516776684659,0.7255289931034302,4,2,0.6397964519646469,0.6284284582289305,0.7255289931034302,0.6827400216225378,-15.0
14,18,38.796788635097165,84.20521192069361,-1.0,-8.0,-2.0,-8.0,parallax,0.5933614360182079,0.7733156140385331,4,1,0.6579353066244187,0.6818659120611043,0.7733156140385331,0.7724197210332071,-15.0
14,19,150.85586645058586,2.59324221607125,-15.0,-6.0,4.0,-6.0,parallax,2.1165180002766797,0.7444833234519661,4,1,0.2591095807678723,0.7444833234519661,0.7431889332963975,0.5612755482392332,-15.0
14,21,129.16596028860383,57.70240459531303,-1.0,-12.0,-12.0,-12.0,parallax,1.224744871391589,0.758566857372782,4,2,0.6099803631912907,0.7506271721388992,0.758566857372782,0.6572244476060353,-15.0
14,48,114.79103457613132,62.586284675371566,1.0,-8.0,0.0,-8.0,parallax,1.16709358148228,0.7255961387114049,4,4,0.5244091551019481,0.6428688365679742,0.7255961387114049,0.533904282629615,-15.0
14,53,15.83034422482978,128.74918062797855,1.0,-10.0,-4.0,-10.0,parallax,1.3209105538507602,0.641364587417378,4,1,0.46495504937635496,0.6310684764891606,0.641364587417378,0.5756446755709309,-15.0
19,1,147.67338937646295,47.1602882821953,-5.0,-2.0,-2.0,-2.0,parallax,1.118033988749895,0.8881920299656432,4,3,0.742114253136424,0.8881920299656432,0.863430116400569,0.8380689526658279,-5.0
19,2,47.83482974906483,65.04640083904869,3.0,-4.0,0.0,-4.0,parallax,1.1634468644190223,0.8559100436300695,4,2,0.8313342373910776,0.8559100436300695,0.8542911654641192,0.8361886891585418,-5.0
19,10,195.55675814923484,132.9407311155014,15.0,12.0,2.0,12.0,parallax,2.1453497326383957,0.7614839192361322,4,1,0.7104663268669209,0.7614839192361322,0.7389433973449104,0.7456884224342425,-5.0
19,12,40.10020369764663,146.00098772308777,9.0,0.0,0.0,0.0,parallax,0.7071067811865476,0.8553017721682779,4,2,0.760702066210685,0.85478955853662,0.8394590459839972,0.8553017721682779,-5.0
19,13,26.274671849142475,93.82503714170801,3.0,2.0,-2.0,2.0,parallax,1.2001981431010729,0.8774762454683207,4,3,0.7851697796710556,0.8774762454683207,0.8563501543227681,0.8388980488904225,-5.0
