plane_id,new_roi_idx,old_roi_idx,snr,out_dir
19,29,72,1.4379045305345275,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,30,73,1.4895587250681657,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,31,75,1.5181263971530914,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,32,76,1.4846266523644929,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,33,77,1.4513129252991215,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,34,87,1.8862319720852059,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,35,97,1.4030680456199096,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
19,36,123,1.773703762771684,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane19\suite2p\plane0
24,0,0,2.4060484027446862,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,1,1,1.816494765835787,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,2,3,1.839200025074882,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,3,4,4.198120908727838,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,4,5,2.0155654089164377,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,5,6,1.401886352352689,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,6,7,1.4725455176547195,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,7,9,2.7816162801753768,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,8,10,2.102099941943364,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,9,11,2.239255976006519,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,10,15,1.6622741186298622,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,11,16,2.04838215718718,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,12,19,1.8794917573138166,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,13,20,2.5680715095318427,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,14,21,1.3853796149381667,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,15,23,1.5894021097557989,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,16,25,3.0706123719723477,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
