m2_plane,m2_roi,col,row,z2,best_z,best_r,r_v1,r_v2,r_v3,r_v4,n_pass,accepted,primary_view,used_warped_fp
24,93,246.83983109347696,49.13357403608587,5.0,9.0,0.6517826409316275,0.6062906231329627,0.6494969669300525,0.6517826409316275,0.6486987229031242,4,1,4,1
24,61,53.6436364115131,88.02753525635224,5.0,1.0,0.480168268471083,0.4428795107574434,0.42438288837336313,0.480168268471083,0.39831260973882243,4,1,3,1
29,40,195.69568459850558,124.53721418293249,15.0,11.0,0.2878705077868783,0.26509319813928084,0.2164146574879652,0.26616112233241473,0.2878705077868783,4,1,3,1
29,5,25.592008834454372,172.86863210967218,15.0,-1.0,0.5567498169057278,0.48593365037646963,0.4928400183748195,0.5440081376179252,0.5567498169057278,4,1,3,1
29,66,111.21466421747519,8.777475397292685,15.0,5.0,0.45132257180698526,0.32871791723308474,0.4175539534125663,0.45132257180698526,0.44113695733928554,4,1,1,1
24,63,238.64556771408493,117.81101295050698,5.0,7.0,0.4082869843186348,0.3625643046374801,0.3520561710674659,0.3915447465782048,0.4082869843186348,4,1,4,1
29,31,173.55977557758274,148.58968909564913,15.0,7.0,0.5556701588174905,0.4247560069095642,0.44496348722993523,0.5556701588174905,0.48194836113928907,4,1,1,1
29,22,236.0435173366606,119.16706424898373,15.0,9.0,0.5120804922199216,0.45724880408695306,0.4116028942207513,0.4276779060469322,0.5120804922199216,4,1,3,1
24,81,75.3098373981107,188.81703158446976,5.0,5.0,0.49770206386292737,0.48197553800734855,0.4516382266915406,0.48102630337694324,0.49770206386292737,4,1,3,1
24,239,145.3245783555868,223.0103654251581,5.0,5.0,0.3902079183012855,0.2720487130992005,0.3813984714781232,0.3902079183012855,0.3582683953813808,4,1,4,1
29,72,246.80123449193792,21.974675427716484,15.0,9.0,0.452882759238474,0.42881123508073127,0.42988459895383324,0.452882759238474,0.35131297541658857,4,1,2,1
19,45,32.85848517081788,9.384915778276852,-5.0,-1.0,0.5255628232468099,0.39514168374505304,0.5255628232468099,0.522589788469384,0.4611612806099891,4,1,4,1
29,28,215.589033984677,113.39094262495527,15.0,7.0,0.37514866893759513,0.37514866893759513,0.3126678380065389,0.32834544084380096,0.31299697966477846,4,1,4,1
19,13,26.274671849142475,94.82503714170801,-5.0,3.0,0.6956887135240575,0.6541862010230381,0.6956887135240575,0.6652061618725096,0.6717744997542969,4,1,2,1
24,31,186.58923648382537,29.090375541535064,5.0,5.0,0.6820754091580238,0.5587758272664176,0.6723460390457546,0.6820754091580238,0.6128770262677498,4,1,4,1
29,44,144.53338496326148,215.21075049837222,15.0,11.0,0.48895003726034786,0.45594409372932837,0.435615977571916,0.48895003726034786,0.466100468849623,4,1,2,1
24,147,141.3238904454646,134.88970621788613,5.0,3.0,0.3067863556788869,0.23874805021295856,0.2142517131028157,0.25880012656112,0.3067863556788869,4,1,2,1
19,70,130.1079596982855,74.1378772169444,-5.0,-5.0,0.4114646294577226,0.3166690749744441,0.4114646294577226,0.32071311282834114,0.3662576399169203,4,1,1,1
14,1,91.3007021501503,97.75669818173229,-15.0,-3.0,0.47555313773840074,0.4272542500219968,0.47555313773840074,0.44149120669345393,0.45806827087132707,4,1,3,1
29,79,240.15679498668663,12.885114331212831,15.0,7.0,0.3986335289870763,0.2985554968787009,0.22938874396465314,0.38294768882123353,0.3986335289870763,4,1,1,1
19,16,104.11754303321416,46.42341284857096,-5.0,-5.0,0.6021103971270376,0.5853572798400742,0.5972289380257428,0.6021103971270376,0.5875216769466008,4,1,2,1
14,53,17.83034422482978,129.74918062797855,-15.0,-5.0,0.34140512310732696,0.24349622514709734,0.34140512310732696,0.2900754184072787,0.2592981313112837,4,1,4,1
24,163,175.23636299213996,5.047113153061646,5.0,3.0,0.5002029264222952,0.4059758089212699,0.5002029264222952,0.4214664024120039,0.36613982988643595,4,1,1,1
24,33,153.64609476960146,120.79924204397149,5.0,7.0,0.5439565762162905,0.46597900241643353,0.5439565762162905,0.5353313706541926,0.42031227655587844,4,1,4,1
19,17,108.95561260343912,8.260458645861718,-5.0,-9.0,0.6908354967165276,0.5773967516340831,0.6908354967165276,0.678461004419681,0.594391661421483,4,1,4,1
24,180,222.85151553423944,206.41010262604806,5.0,5.0,0.39113926297849977,0.35221478088606006,0.35029598482916924,0.29816167350976397,0.39113926297849977,4,1,1,1
19,61,166.8401435702332,148.3931663384105,-5.0,-5.0,0.5319415254764264,0.425471094159673,0.47013007244215993,0.47348625933031707,0.5319415254764264,4,1,1,1
14,12,102.04473159608186,45.22965018116108,-15.0,-7.0,0.5160419044136113,0.3952192254315881,0.49018719873326533,0.5160419044136113,0.4571148406509049,4,1,1,1
24,45,40.48177893785765,111.05925331013174,5.0,1.0,0.6563482475739761,0.636145816907548,0.6563482475739761,0.6553387394150778,0.6557988515068064,4,1,2,1
29,27,22.447988239404996,29.6387266930175,15.0,9.0,0.324304700166787,0.324304700166787,0.28302443343588635,0.2361381041988873,0.2003063890072595,4,1,2,1
29,58,210.50052773383766,31.036059551168478,15.0,7.0,0.445281054356083,0.40581354347704773,0.32091963591803674,0.445281054356083,0.4215719051898372,4,1,3,1
19,23,107.34618635868293,196.22906145561896,-5.0,-3.0,0.47221903838193396,0.42478794510313106,0.4023384202168905,0.47221903838193396,0.4673953847357366,4,1,2,1
29,3,175.1963147801851,229.34818504030125,15.0,7.0,0.5800112317905518,0.5800112317905518,0.5137850622656593,0.5774071797692611,0.513247781481139,4,1,1,1
29,71,98.37978114647125,204.08159648716952,15.0,9.0,0.26113679925274397,0.22243415533913075,0.14434513654757575,0.20499722138027004,0.26113679925274397,3,1,1,1
29,35,185.79148324483182,218.34216008806024,15.0,9.0,0.4396031185245538,0.3640555926040814,0.4261118820602991,0.40459304640676635,0.4396031185245538,4,1,4,1
24,57,204.21504332011122,151.24100270123247,5.0,7.0,0.620210943710069,0.5488997671978916,0.620210943710069,0.5934491204451638,0.5181019675813731,4,1,1,1
29,152,222.8173320393981,203.3764331687231,15.0,7.0,0.2748167676351735,0.22903608218469024,0.21541741786888655,0.21732654038640054,0.2748167676351735,4,1,4,1
24,139,19.377158218639998,132.85145400394873,5.0,5.0,0.480751138835067,0.41966847438268107,0.4792554917897791,0.478146864302134,0.480751138835067,4,1,3,1
29,2,197.9303739128054,167.17535661808327,15.0,13.0,0.4759771978699619,0.4465540173962494,0.4370629094837981,0.4613529979850672,0.4759771978699619,4,1,2,1
24,160,98.83098539750573,201.56829456663164,5.0,5.0,0.39678338774703714,0.39678338774703714,0.24534957474134064,0.31063718626253206,0.3490449406445518,4,1,4,1
24,185,237.3345681067556,52.527642616330276,5.0,7.0,0.5814036823737042,0.4288899732646545,0.5814036823737042,0.4085824889841617,0.5299038239299355,4,1,4,1
29,7,209.3246138199849,58.30956818548863,15.0,9.0,0.3709061288633953,0.30325864445713574,0.31517774012052574,0.2137385630605113,0.3709061288633953,4,1,4,1
29,21,247.66077974370316,156.13143511948854,15.0,9.0,0.6622325462732729,0.6006023333321168,0.6383453237320091,0.6227106231748072,0.6622325462732729,4,1,1,1
29,52,215.62387886400373,68.21176230710624,15.0,9.0,0.3844921751397908,0.3383103965019201,0.3757080306500079,0.3231104913246773,0.3844921751397908,4,1,1,1
29,133,141.248984246107,134.18369376417084,15.0,7.0,0.31957792358983356,0.31957792358983356,0.1607117947134938,0.24673547364792175,0.3099295626780142,4,1,2,1
