Time,Data
20231230_175413934,285.36mm;     45.23mm/s;
20231230_175414036,287.82mm;     34.84mm/s;
20231230_175414087,288.53mm;     0.00mm/s;
20231230_175414189,288.84mm;     13.73mm/s;
20231230_175414290,290.69mm;     99.71mm/s;
20231230_175414392,299.19mm;     225.77mm/s;
20231230_175414494,312.42mm;     185.02mm/s;
20231230_175414595,318.98mm;     155.30mm/s;
20231230_175414696,328.31mm;     220.91mm/s;
20231230_175414797,330.25mm;     -26.17mm/s;
20231230_175414898,330.25mm;     0.00mm/s;
20231230_175415000,330.36mm;     0.93mm/s;
20231230_175415102,330.25mm;     -1.63mm/s;
20231230_175415203,330.25mm;     0.00mm/s;
20231230_175415305,330.25mm;     0.00mm/s;
20231230_175415406,330.25mm;     0.00mm/s;
20231230_175415507,330.25mm;     0.00mm/s;
20231230_175415609,330.56mm;     22.79mm/s;
20231230_175415711,330.87mm;     8.92mm/s;
20231230_175415812,331.48mm;     15.30mm/s;
20231230_175415914,331.69mm;     0.00mm/s;
20231230_175416016,331.59mm;     -1.44mm/s;
20231230_175416118,331.59mm;     0.00mm/s;
20231230_175416220,331.59mm;     0.00mm/s;
20231230_175416322,331.69mm;     0.67mm/s;
20231230_175416425,332.00mm;     13.48mm/s;
20231230_175416527,334.87mm;     266.93mm/s;
20231230_175416628,353.32mm;     374.09mm/s;
20231230_175416730,368.59mm;     289.55mm/s;
20231230_175416831,388.27mm;     438.03mm/s;
20231230_175416933,405.39mm;     155.78mm/s;
20231230_175417035,411.75mm;     146.43mm/s;
20231230_175417086,418.10mm;     95.08mm/s;
20231230_175417188,424.87mm;     175.51mm/s;
20231230_175417291,434.71mm;     165.32mm/s;
20231230_175417392,441.27mm;     77.65mm/s;
20231230_175417493,448.04mm;     310.61mm/s;
20231230_175417596,461.98mm;     168.59mm/s;
20231230_175417698,467.72mm;     85.56mm/s;
20231230_175417800,471.20mm;     76.04mm/s;
20231230_175417902,474.48mm;     78.24mm/s;
20231230_175418003,483.71mm;     261.48mm/s;
20231230_175418105,494.37mm;     217.16mm/s;
20231230_175418209,504.01mm;     138.51mm/s;
20231230_175418311,506.88mm;     20.07mm/s;
20231230_175418412,507.08mm;     6.64mm/s;
20231230_175418515,509.54mm;     74.71mm/s;
20231230_175418616,512.62mm;     24.47mm/s;
20231230_175418717,512.72mm;     0.00mm/s;
20231230_175418818,512.72mm;     0.00mm/s;
20231230_175418922,512.72mm;     0.00mm/s;
20231230_175419023,512.72mm;     0.00mm/s;
20231230_175419126,512.92mm;     16.12mm/s;
20231230_175419227,512.92mm;     0.00mm/s;
20231230_175419328,512.92mm;     0.00mm/s;
20231230_175419431,512.92mm;     0.00mm/s;
20231230_175419533,512.92mm;     0.00mm/s;
20231230_175419634,513.64mm;     32.71mm/s;
20231230_175419685,514.26mm;     0.00mm/s;
20231230_175419787,514.26mm;     0.00mm/s;
20231230_175419888,514.26mm;     0.00mm/s;
20231230_175419990,514.26mm;     0.00mm/s;
20231230_175420094,514.36mm;     0.49mm/s;
20231230_175420195,514.36mm;     0.00mm/s;
20231230_175420298,514.36mm;     0.00mm/s;
20231230_175420399,514.36mm;     0.00mm/s;
