idx,orig_idx,col,row,z_um,z_plane_equiv,x_um,y_um,n_views_matched,peak_corr,center_spread_px,mean_trace_corr,min_trace_corr,primary_view
0,0,43.7642783887284,193.58123874153182,-1.0,-0.5,43.7642783887284,193.58123874153182,4,2.3887802602076693,0.4040950160333175,0.8541435164875865,0.8541435164875865,1
1,1,234.57207653616567,23.67203563493365,8.0,4.0,234.57207653616567,23.67203563493365,4,2.321489847174475,1.4247978500006553,0.8814916220877593,0.8814916220877593,1
2,2,38.23610850341585,146.30388178195105,4.0,2.0,38.23610850341585,146.30388178195105,4,2.38202439631457,0.6932157463421024,0.8733298937742788,0.8733298937742788,1
3,3,22.835837992044922,172.63417457786448,4.5,2.25,22.835837992044922,172.63417457786448,4,2.5536745862235226,0.8029188788440602,0.891537957717405,0.891537957717405,1
4,4,47.270962093081344,65.90403733474407,-4.666666666666667,-2.3333333333333335,47.270962093081344,65.90403733474407,4,2.3861772708263724,1.1702621177473174,0.8390938821473128,0.8390938821473128,1
5,5,90.21549191101472,99.67984700227521,-5.0,-2.5,90.21549191101472,99.67984700227521,4,2.702063359289823,1.449413196374899,0.9279612585731518,0.9279612585731518,1
6,6,94.35359864523244,158.19138713838814,0.0,0.0,94.35359864523244,158.19138713838814,4,2.315442605462266,0.148591849390308,0.8230700694306228,0.8230700694306228,1
7,7,65.20708857226059,215.4047663602105,4.0,2.0,65.20708857226059,215.4047663602105,4,2.434120063433942,0.6295940165699638,0.8599702957647803,0.8599702957647803,1
8,8,75.96296133903422,82.9183803928557,-6.0,-3.0,75.96296133903422,82.9183803928557,4,2.7005401401773486,1.7232358689957776,0.9385478945142772,0.9385478945142772,1
9,9,226.71695580586774,167.58839412663323,18.666666666666668,9.333333333333334,226.71695580586774,167.58839412663323,4,2.530793581503805,4.006943696943516,0.8172674370696109,0.8172674370696109,1
10,10,208.4014166816017,41.762142434433656,7.0,3.5,208.4014166816017,41.762142434433656,4,2.178040964591249,1.357759261903613,0.7719873726862677,0.7719873726862677,1
11,11,181.45786888897328,208.7432666765201,8.0,4.0,181.45786888897328,208.7432666765201,4,0.7432164803187564,1.2808089729476368,0.636687005700439,0.636687005700439,1
12,12,35.062654580414176,247.39462260133345,1.5,0.75,35.062654580414176,247.39462260133345,4,2.365126625338172,0.06723727914634894,0.8710118462094362,0.8710118462094362,1
13,13,194.19914322443583,131.15503680646677,10.0,5.0,194.19914322443583,131.15503680646677,4,1.9345325147288903,1.909960638950174,0.7930392589695844,0.7930392589695844,1
14,14,210.58370968910694,30.330534844494448,2.6666666666666665,1.3333333333333333,210.58370968910694,30.330534844494448,4,1.9819621895660355,0.06289111132559679,0.7041421607234165,0.7041421607234165,1
15,15,210.04350804497892,141.79423256234008,11.0,5.5,210.04350804497892,141.79423256234008,4,2.07017041014325,2.3356663082193916,0.5099519713804186,0.5099519713804186,1
16,16,40.03658080314023,203.4309664485248,4.0,2.0,40.03658080314023,203.4309664485248,4,1.9403818030928073,0.28546088331829905,0.6761811843280067,0.6761811843280067,1
17,17,186.2455700306729,29.73752442743975,1.5,0.75,186.2455700306729,29.73752442743975,4,2.0307500134828964,0.13578605181049774,0.8581153019189467,0.8581153019189467,1
18,18,143.2730972186298,14.650465298895526,-1.0,-0.5,143.2730972186298,14.650465298895526,4,2.3909210548640427,0.3556388547148326,0.9155162898735082,0.9155162898735082,1
19,19,173.8549893414018,227.69417459017433,9.5,4.75,173.8549893414018,227.69417459017433,4,2.0844284867489113,2.168474574003484,0.761544988421788,0.761544988421788,1
20,20,124.96904937277439,229.62122730199803,-6.666666666666667,-3.3333333333333335,124.96904937277439,229.62122730199803,4,2.13304085092758,1.2790310925707542,0.7809901907934694,0.7809901907934694,1
21,21,26.33640434533808,94.05806739058131,1.3333333333333333,0.6666666666666666,26.33640434533808,94.05806739058131,4,2.5191508276128993,0.09325003590018864,0.8964098466261071,0.8964098466261071,1
22,22,227.19367043762668,166.38464716586057,20.666666666666668,10.333333333333334,227.19367043762668,166.38464716586057,4,2.04898079306319,4.494864662024289,0.7783441396782,0.7783441396782,1
23,23,144.7423989442609,204.54907172595736,7.5,3.75,144.7423989442609,204.54907172595736,4,1.985602197701457,1.4144413880426683,0.6562271238061796,0.6562271238061796,1
24,24,105.51511925385861,196.98662735030422,2.5,1.25,105.51511925385861,196.98662735030422,4,1.8746209121364017,0.20810714436883274,0.7624097492154256,0.7624097492154256,1
25,25,244.92992793701345,155.57047057748358,14.0,7.0,244.92992793701345,155.57047057748358,4,2.2699844126648347,3.142694554706286,0.8474481225393857,0.8474481225393857,1
26,26,7.701088230762592,114.9580100761432,6.5,3.25,7.701088230762592,114.9580100761432,4,2.4884352851386877,1.2680479721808577,0.8556458233398424,0.8556458233398424,1
27,27,192.2748960729127,224.40777105356304,14.0,7.0,192.2748960729127,224.40777105356304,4,1.7738285932525506,3.229109555905889,0.6855822329703573,0.6855822329703573,1
28,28,12.64819548763169,53.340703508519006,-2.6666666666666665,-1.3333333333333333,12.64819548763169,53.340703508519006,4,2.3070687542047486,0.894963894631095,0.8324783047474054,0.8324783047474054,1
29,29,237.906077410237,201.41887125115886,3.3333333333333335,1.6666666666666667,237.906077410237,201.41887125115886,4,2.4272418764851693,0.4776374048193685,0.8301470349561431,0.8301470349561431,1
30,30,125.71489149347555,160.23533287258851,8.0,4.0,125.71489149347555,160.23533287258851,4,1.5710595892705534,1.7271419243166155,0.6687781578412382,0.6687781578412382,1
31,31,146.87599230939327,46.454485674025655,-2.5,-1.25,146.87599230939327,46.454485674025655,4,2.2413902912342656,0.48448958305981615,0.8816786342737266,0.8816786342737266,1
32,32,208.80395768679028,59.569675119795605,6.0,3.0,208.80395768679028,59.569675119795605,4,1.426332614829525,0.8077145870829632,0.618408669721798,0.618408669721798,1
33,33,235.29698147956734,223.39105956538006,7.333333333333333,3.6666666666666665,235.29698147956734,223.39105956538006,4,2.343165703329922,1.4955697544244295,0.8762478223109446,0.8762478223109446,1
34,34,78.974175199317,222.048136816095,9.5,4.75,78.974175199317,222.048136816095,4,2.1445014010277577,2.1427860760344952,0.810771158273093,0.810771158273093,1
35,35,40.95521495415092,110.41930837700505,-2.0,-1.0,40.95521495415092,110.41930837700505,4,2.712907704230051,0.5896157323677405,0.935378501431802,0.935378501431802,1
