m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted
24,102,recovered_bin,92.58654532493237,146.57554462403374,3.0,0.36618634270326295,3,-1,,2.0,4,1
24,103,recovered_bin,186.7158886042119,4.842414829600147,5.0,0.5705235699157875,1,-1,,0.0,4,1
24,106,recovered_bin,197.2842600995367,122.92495186673573,11.0,0.32963867904531363,1,-1,,6.0,4,1
24,111,matched_trusted,238.1424626366984,13.35601188086916,12.0,0.40248731680970595,3,170,2.468366016576163,7.0,,1
24,113,matched_trusted,32.83924197797596,12.939804072619559,-6.0,0.5521474561684452,3,173,2.8968702134517135,11.0,,1
24,114,recovered_bin,66.33714624289631,162.44726984258216,5.0,0.2921613807437727,4,-1,,0.0,4,1
24,115,recovered_bin,203.75152750900926,80.04493386275439,11.0,0.42613179625721964,1,-1,,6.0,4,1
24,116,recovered_bin,142.02778614373838,144.11761425113497,11.0,0.2276249135120715,1,-1,,6.0,4,1
24,117,matched_trusted,245.08237748282227,80.09498818956651,7.333333333333333,0.5427864336762305,1,39,3.748538324963727,2.333333333333333,,1
24,118,recovered_bin,74.2105210320249,226.98132717598634,11.0,0.2532451287952433,4,-1,,6.0,3,1
24,128,recovered_bin,67.1881337215139,64.46752334103002,11.0,0.39294523989808994,1,-1,,6.0,4,1
24,129,recovered_bin,109.0608161302765,100.40473636656644,-3.0,0.4141960693506932,2,-1,,8.0,4,1
24,130,recovered_bin,189.8289404627414,48.048147268016145,3.0,0.7441645572804205,4,-1,,2.0,4,1
24,132,recovered_bin,218.3719440243178,226.5024102195283,1.0,0.49975188855538494,3,-1,,4.0,4,1
24,139,recovered_bin,19.377158218639998,132.85145400394873,3.0,0.480751138835067,1,-1,,2.0,4,1
24,140,matched_trusted,39.67160955559231,97.92241176463199,-6.0,0.4846397927087495,3,143,2.057085555830902,11.0,,1
24,141,recovered_bin,128.16299493952343,245.81755513168022,9.0,0.5600863183469036,1,-1,,4.0,4,1
24,142,matched_trusted,23.39211274786634,238.8738232431711,12.0,0.40365974264417065,3,189,0.34831439775162604,7.0,,1
24,147,recovered_bin,141.3238904454646,134.88970621788613,5.0,0.3067863556788869,3,-1,,0.0,4,1
24,152,matched_trusted,116.36075316369977,59.85608609194997,-5.0,0.4656501897976671,2,108,2.663267180830551,10.0,,1
24,153,recovered_bin,215.81758656741087,138.0637009589926,7.0,0.5215853313782925,4,-1,,2.0,4,1
24,155,recovered_bin,213.29465908779778,98.77364697526967,7.0,0.545136791066547,4,-1,,2.0,4,1
24,157,recovered_bin,27.44813298997875,147.54441546838873,7.0,0.5234732467317749,1,-1,,2.0,4,1
