m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted,snr
14,8,matched_trusted,75.96296133903422,82.9183803928557,-6.0,0.6455085415208908,1,8,0.726042508086056,9.0,,1,2.529247467821373
14,13,matched_trusted,77.84419716376149,29.81686447950684,-8.0,0.41662382733888037,3,147,1.9129621101880496,7.0,,1,1.3513755079275032
14,14,matched_trusted,163.67977590023693,7.3173179817752425,-3.3333333333333335,0.48115757195920084,2,90,2.8141949985468604,11.666666666666666,,1,1.4635245151220346
14,15,recovered_bin_refined,140.28932838068468,28.29480529621078,-14.0,0.7862643184585923,2,-1,,1.0,4,1,1.5482372931228796
14,17,recovered_bin_refined,53.91488635744764,86.39968229034412,-8.0,0.7255289931034302,2,-1,,7.0,4,1,1.5301393627979343
14,18,matched_trusted,41.44415439745221,86.07063825116593,-6.0,0.48464487885452917,3,149,1.966861897513975,9.0,,1,1.608356910860032
14,19,recovered_bin_refined,150.85586645058586,2.59324221607125,-6.0,0.7444833234519661,1,-1,,9.0,4,1,1.4217161287035949
14,48,recovered_bin_refined,114.79103457613132,62.586284675371566,-8.0,0.7255961387114049,4,-1,,7.0,4,1,1.4296582703095335
14,53,recovered_bin_refined,15.83034422482978,128.74918062797855,-10.0,0.641364587417378,1,-1,,5.0,4,1,1.3385565776464963
19,3,matched_trusted,115.18236155187078,35.40280607084757,-11.333333333333334,0.6195172081285991,2,98,2.126356574644921,6.333333333333334,,1,1.8939370492783592
19,10,recovered_bin_refined,195.55675814923484,132.9407311155014,12.0,0.7614839192361322,1,-1,,17.0,4,1,2.0110400617406756
19,11,recovered_bin_refined,143.49810414462556,13.012286378414277,0.0,0.9195016754173038,3,-1,,5.0,4,1,2.353344180996063
19,13,recovered_bin_refined,26.274671849142475,93.82503714170801,2.0,0.8774762454683207,3,-1,,7.0,4,1,2.431503519213433
19,14,matched_trusted,126.35465413551762,54.85901894121476,-4.0,0.6342382813339986,3,143,1.0155636603081637,1.0,,1,1.7809117671582577
19,17,recovered_bin_refined,109.95561260343912,7.260458645861718,-6.0,0.8935097653936693,4,-1,,1.0,4,1,1.8947632065971918
19,18,recovered_bin_refined,165.7945626599199,7.377814653619705,-2.0,0.7842754840023711,3,-1,,3.0,4,1,1.5503570907193653
19,23,recovered_bin_refined,108.34618635868293,194.22906145561896,-6.0,0.7870560396674223,2,-1,,1.0,4,1,1.6486255754129227
19,24,matched_trusted,22.835837992044922,172.63417457786448,4.5,0.6628896271196495,1,3,0.20728328173396648,9.5,,1,2.8253708840226497
19,25,recovered_bin_refined,170.75417658279054,49.82667698140395,0.0,0.5918762683634299,3,-1,,5.0,4,1,1.2930841889259213
19,28,recovered_bin_refined,30.099976394424743,71.325466617104,-4.0,0.7329707438155663,2,-1,,1.0,4,1,1.6687298721069919
19,30,recovered_bin_refined,75.62090725257075,27.50402283190156,-10.0,0.7583114017147201,1,-1,,5.0,4,1,1.4384408279880563
19,32,recovered_bin_refined,44.904858678576176,175.1346847299061,-2.0,0.733819428209788,3,-1,,3.0,4,1,1.4714143996750861
19,33,recovered_bin_refined,136.44996307517124,24.60280023598885,-6.0,0.7236328790347035,2,-1,,1.0,4,1,1.457263845314054
19,34,recovered_bin_refined,101.66836765078722,108.30441773765142,-6.0,0.6505651429257756,3,-1,,1.0,4,1,1.4633761416508422
19,35,recovered_bin_refined,172.05143589410466,59.451425264413565,-8.0,0.7447578576241054,2,-1,,3.0,4,1,1.536293105789489
19,38,matched_trusted,151.80451339330543,4.819181755339974,-3.0,0.5011049880131855,2,99,0.2437693477649264,2.0,,1,1.5374577889226406
