plane_id,roi_idx,x,y,z_um_plane,snr
14,8,75.15060240963855,82.08433734939759,-15.0,2.529247467821373
14,13,78.45394736842105,28.019736842105264,-15.0,1.3513755079275032
14,14,160.2357142857143,7.507142857142857,-15.0,1.4635245151220346
14,15,137.75,29.180555555555557,-15.0,1.5482372931228796
14,17,51.712418300653596,87.05882352941177,-15.0,1.5301393627979343
14,18,40.63768115942029,83.8768115942029,-15.0,1.608356910860032
14,19,149.27142857142857,5.571428571428571,-15.0,1.4217161287035949
14,48,115.33944954128441,58.357798165137616,-15.0,1.4296582703095335
14,53,16.764705882352942,128.24705882352941,-15.0,1.3385565776464963
19,3,113.58169934640523,33.47712418300654,-5.0,1.8939370492783592
19,10,192.80188679245282,129.43396226415095,-5.0,2.0110400617406756
19,11,142.93846153846152,12.961538461538462,-5.0,2.353344180996063
19,13,25.17610062893082,93.45911949685535,-5.0,2.431503519213433
19,14,125.15602836879432,53.91489361702128,-5.0,1.7809117671582577
19,17,109.52678571428571,7.232142857142857,-5.0,1.8947632065971918
19,18,162.1596638655462,6.352941176470588,-5.0,1.5503570907193653
19,23,106.92753623188406,195.46376811594203,-5.0,1.6486255754129227
19,24,22.948863636363637,171.91477272727272,-5.0,2.8253708840226497
19,25,170.08823529411765,49.63235294117647,-5.0,1.2930841889259213
19,28,28.986486486486488,71.04729729729729,-5.0,1.6687298721069919
19,30,78.31428571428572,28.392857142857142,-5.0,1.4384408279880563
19,32,44.729729729729726,172.45945945945945,-5.0,1.4714143996750861
19,33,135.91780821917808,24.506849315068493,-5.0,1.457263845314054
19,34,99.27966101694915,105.88983050847457,-5.0,1.4633761416508422
19,35,169.38823529411764,61.21176470588235,-5.0,1.536293105789489
19,38,151.27906976744185,5.034883720930233,-5.0,1.5374577889226406
19,43,17.58682634730539,32.97604790419162,-5.0,1.6457227704137622
19,45,32.73033707865169,9.348314606741573,-5.0,1.851486992471773
19,46,155.89256198347107,38.56198347107438,-5.0,1.3857093045783009
19,48,78.02884615384616,219.05769230769232,-5.0,1.5209885311834137
19,51,112.13559322033899,91.16101694915254,-5.0,1.3811707853731792
19,53,185.70676691729324,29.225563909774436,-5.0,1.462767199479966
19,56,9.934782608695652,46.130434782608695,-5.0,1.408982614296836
19,61,167.18556701030928,147.81443298969072,-5.0,1.6299180236654103
19,64,10.093023255813954,15.872093023255815,-5.0,1.7982416590557546
19,65,37.0948275862069,27.20689655172414,-5.0,1.4722349616493726
19,69,192.26041666666666,11.489583333333334,-5.0,1.4697118457165892
19,70,130.5966386554622,73.84873949579831,-5.0,1.4430493787448195
19,72,123.56140350877193,98.64912280701755,-5.0,1.4379045305345275
19,73,116.21153846153847,57.86538461538461,-5.0,1.4895587250681657
19,75,107.71,100.11,-5.0,1.5181263971530914
19,76,83.21929824561404,209.2719298245614,-5.0,1.4846266523644929
19,77,124.53153153153153,160.19819819819818,-5.0,1.4513129252991215
19,87,60.45945945945946,89.67567567567568,-5.0,1.8862319720852059
19,97,124.15315315315316,17.783783783783782,-5.0,1.4030680456199096
19,123,19.942307692307693,121.09615384615384,-5.0,1.773703762771684
24,0,38.343283582089555,144.94776119402985,5.0,2.4060484027446862
24,1,145.81935483870967,45.92258064516129,5.0,1.816494765835787
24,3,43.15107913669065,193.14388489208633,5.0,1.839200025074882
24,4,88.96815286624204,98.89808917197452,5.0,4.198120908727838
