m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted
14,0,recovered_bin_refined,113.84688053191621,36.38921072759301,-6.0,0.8352018446612569,4,-1,,9.0,4,1
14,1,recovered_bin_refined,89.3007021501503,96.75669818173229,-10.0,0.8017902377693447,1,-1,,5.0,4,1
14,4,recovered_bin_refined,45.63018702877528,66.5550276652192,-4.0,0.8513894360685296,1,-1,,11.0,4,1
14,5,recovered_bin_refined,143.92804876079646,14.405022946133279,2.0,0.8769842679270387,3,-1,,17.0,4,1
14,8,matched_trusted,76.04454885864496,84.39773868589697,-5.0,0.6406415965693004,1,8,2.0722217142249635,10.0,,1
14,12,matched_trusted,103.31707272226403,48.77674107843817,-13.333333333333334,0.531342787683788,2,96,1.5647522868091621,1.666666666666666,,1
14,13,matched_trusted,78.20715634308294,31.310366703668414,-10.0,0.4377287997255892,3,148,3.2162085523221204,5.0,,1
14,14,recovered_bin_refined,160.86308029887994,6.536535344988312,-8.0,0.7820295082266067,4,-1,,7.0,4,1
14,15,recovered_bin_refined,140.28932838068468,28.29480529621078,-14.0,0.7862643184585923,2,-1,,1.0,4,1
14,17,recovered_bin_refined,53.91488635744764,86.39968229034412,-8.0,0.7255289931034302,2,-1,,7.0,4,1
14,18,recovered_bin_refined,38.796788635097165,84.20521192069361,-8.0,0.7733156140385331,1,-1,,7.0,4,1
14,19,recovered_bin_refined,150.85586645058586,2.59324221607125,-6.0,0.7444833234519661,1,-1,,9.0,4,1
14,21,recovered_bin_refined,129.16596028860383,57.70240459531303,-12.0,0.758566857372782,2,-1,,3.0,4,1
14,48,recovered_bin_refined,114.79103457613132,62.586284675371566,-8.0,0.7255961387114049,4,-1,,7.0,4,1
14,53,recovered_bin_refined,15.83034422482978,128.74918062797855,-10.0,0.641364587417378,1,-1,,5.0,4,1
19,0,matched_trusted,90.54498830511908,101.0376204083162,-4.0,0.636713931835625,1,5,1.722362470081359,1.0,,1
19,1,recovered_bin_refined,147.67338937646295,47.1602882821953,-2.0,0.8881920299656432,3,-1,,3.0,4,1
19,2,recovered_bin_refined,47.83482974906483,65.04640083904869,-4.0,0.8559100436300695,2,-1,,1.0,4,1
19,3,matched_trusted,115.22821535978478,36.20766201923022,-12.0,0.6195172081285991,2,97,2.852670652483971,7.0,,1
19,6,matched_trusted,23.914619279377046,136.79796011311942,-2.0,0.6673988720850622,2,141,0.6312802427551499,3.0,,1
19,9,matched_trusted,43.734297922878994,194.92860375376264,0.5,0.635458349445621,1,0,1.754180643146981,5.5,,1
